Listado de Proyectos DESAPROBADO

ID;TITULAR;RUC;TITULO_PROYECTO;UNIDAD_PROYECTO;TIPO;ACTIVIDAD;FECHA_INICIO;ESTADO;DESCRIPCION;LONGITUD;LATITUD;RESOLUCION;LABEL
"320";"AUTOPISTA DEL NORTE S.A.C.";"20520929658";"CONSTRUCCIÓN    DE    PROYECTOS    DE    INFRAESTRUCTURA    DE TRANSPORTES   DE  ALCANCE  NACIONAL:   CARRETERAS,   PUERTOS, AEROPUERTOS,  FERROCARRILES Y HELIPUERTOS  (NO CONSIDERADOS EN EL ANEXO 1 RM 891-2019-MTC)";"VÍA DE EVITAMIENTO CHIMBOTE";"ITS";"Transportes";"20/07/2022";"Desaprobado";"SIN DESCRIPCION";"-78.56572541";"-8.9934197";"RD N° 00189-2022-SENACE-PE/DEIN";"null";
"297";"SINDICATO ENERGETICO S.A.";"20256391202";"COMPONENTE ELÉCTRICO DEL PROYECTO DE IRRIGACIÓN E HIDROENERGÉTICO OLMOS";"CH OLMOS";"ITS";"Electricidad";"12/06/2022";"Desaprobado";"SIN DESCRIPCION";"-79.55221643";"-5.93720814";"RD N° 00035-2023-SENACE-PE/DEAR";"null";
"302";"MUNICIPALIDAD DISTRITAL PUCARA";"20203936029";"CONSTRUCCIÓN Y MEJORAMIENTO DEL CAMINO VECINAL ENTRE: PUENTE TECHIN - NARANJITOS - AYAHUACA, DISTRITO DE PUCARÁ - PROVINCIA DE JAÉN - CAJAMARCA";"CAMINO VECINAL PUENTE TECHIN - NARANJITOS - AYAHUACA";"Clasificación";"Transportes";"27/05/2021";"Desaprobado";"SIN DESCRIPCION";"-79.0674";"-6.0376";"RD N° 00152-2021-SENACE-PE/DEIN";"null";
"518";"CONCESIONARIA VIAL DEL SOL S.A. - COVISOL S.A.";"20522547957";"ITS PARA LAS OBRAS ADICIONALES "PASO DE DESNIVEL KM 988+811-SECTOR COSCOMBA DE LA PANAMERICANA NORTE"";"SIN UNIDAD";"ITS";"Transportes";"18/07/2017";"Desaprobado";"SIN DESCRIPCION";"-75.73316001";"-12.93631135";"RD N° 327-2017-SENACE/DCA";"null";
"515";"COMPAÑÍA CONSULTORA DE PETROLEO S.A. (CCP)";"20144856512";"PPC DEL EIA Y SOCIAL PARA EL "PROYECTO DE DESARROLLO DE LA ESTRUCTURA HUAYA EN EL LOTE 100"";"SIN UNIDAD";"PPC";"Hidrocarburos";"14/06/2016";"Desaprobado";"SIN DESCRIPCION";"-75.73316001";"-12.93631135";"RD N° 036-2016- SENACE/DCA";"null";
"516";"CONSORCIO TRANSMANTARO S.A.";"20383316473";"S.E. MANTARO";"S.E. MATARO";"ITS";"Electricidad";"05/09/2017";"Desaprobado";"SIN DESCRIPCION";"-74.32697841";"-13.27732754";"RD N° 291-2017-SENACE-DCA";"null";
"517";"SAPET DEVELOPMENT PERÚ INC., SUCURSAL DEL PERÚ";"20168702346";"MEJORA TECNOLÓGICA PARA LOS SUELOS AFECTADOS CON HIDROCARBUROS EN EL LOTE VII-VI";"LOTE VII/VI";"ITS";"Hidrocarburos";"15/04/2016";"Desaprobado";"SIN DESCRIPCION";"-81.2373";"-4.5067";"RD N° 021-2016-SENACE/DCA";"null";
"498";"PROVIAS DESCENTRALIZADO";"20380419247";"EVAP DEL PROYECTO MEJORAMIENTO DEL CAMINO VECINAL INTEGRADOR DESDE EL TALLAN, SINCHAO CHICO HASTA LA RUTA PANAMERICANA 1N QUE ARTICULA NUEVO SINCHAO CHICO, ZONA VENTURA, NUEVO TALLAN, NUEVO PIEDRAL Y*";"MEJORAMIENTO DEL CAMINO VECINAL INTEGRADOR DESDE EL TALLAN, SINCHAO CHICO HASTA LA RUTA PANAMERICANA 1N QUE ARTICULA NUEVO SINCHAO CHICO, ZONA VENTURA, NUEVO TALLAN, NUEVO PIEDRAL Y EL TABANCO DE EL TALLAN, PROVINCIA DE PIURA - PIURA";"Clasificación";"Transportes";"01/08/2018";"Desaprobado";"SIN DESCRIPCION";"-80.68021473";"-5.41684672";"RD N° 00031-2018-SENACE-PE/DEIN";"null";
"483";"MUNICIPALIDAD DISTRITAL DE SAN RAFAEL";"20200197357";"EVALUACION AMBIENTAL PRELIMINAR (EVAP) DEL PROYECTO %u201CCONSTRUCCIÓN DEL CAMINO VECINAL MARAYZONDOR %u2013 SANTO DOMINGO DE RONDÓS %u2013 HUILLAPARAC DISTRITO DE SAN RAFAEL %u2013 AMBO - HUÁNUCO%u201D";"CAMINO VECINAL MARAYZONDOR - SANTO DOMINGO DE RONDOS - HUILLAPARAC";"Clasificación";"Transportes";"26/04/2019";"Desaprobado";"SIN DESCRIPCION";"-76.17241283";"-10.30729026";"RD N° 00157-2019-SENACE-PE/DEIN";"null";
"541";"AUTORIDAD PARA LA RECONSTRUCCION CON CAMBIOS";"20602114091";"Proyecto: MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE DRENAJE PLUVIAL INTEGRAL DE LA CIUDAD DE TALARA DEL DISTRITO DE PARIÑAS - PROVINCIA DE TALARA - DEPARTAMENTO DE PIURA";"DRENAJE PLUVIAL TALARA-PARIÑA";"IGAPRO";"Saneamiento";"20/08/2023";"Desaprobado";"SIN DESCRIPCION";"-81.26389835";"-4.56121186";"RD Nº 00202-2023-SENACE-PE/DEIN";"null";
"519";"ANABI S.A.C.";"20517187551";"SEGUNDO ITS PARA LA MODIFICACIÓN, AMPLIACIÓN E IMPLEMENTACIÓN DE NUEVOS COMPONENTES DEL EIA DEL PROYECTO MINERO ANAMA";"U.M. ANAMA";"ITS";"Minería";"07/09/2016";"Desaprobado";"SIN DESCRIPCION";"-72.7558";"-14.3406";"RD N° 091-2016-SENACE/DCA";"null";
"575";"MUNICIPALIDAD DISTRITAL DE PROVIDENCIA";"20187384223";"CONSTRUCCION DE LA CARRETERA EL CARMELO %u2013 GRAMALOTE %u2013 LA LIBERTAD, DISTRITO DE PROVIDENCIA - LUYA - AMAZONAS";"CARRETERA EL CARMELO-GRAMALOTE-LA LIBERTAD";"Clasificación";"Transportes";"24/09/2019";"Desaprobado";"SIN DESCRIPCION";"-78.27275377";"-6.29400738";"RD N° 0004-2020-SENACE-PE/DEIN";"null";
"577";"CONCESIONARIA INTEROCEANICA SUR TRAMO 2 S.A.";"20511125040";"ITS PARA EL INFORME TÉCNICO DE MANTENIMIENTO (ITM) DE 10 PUENTES UBICADOS ENTRE EL KM 213+000 %u2013 KM 246+437.49 DEL PROYECTO CORREDOR VIAL INTEROCEÁNICO SUR, PERÚ %u2013 BRASIL, TRAMO N° 2: URCOS - PUENTE INAMBARI";"CORREDOR VIAL INTEROCEÁNICO SUR, PERÚ-BRASIL, TRAMO 02: URCOS %u2013 PUENTE INAMBARI";"ITS";"Transportes";"26/04/2021";"Desaprobado";"SIN DESCRIPCION";"-70.56287702";"-13.18797108";"RD N° 0086-2021-SENACE-PE/DEIN";"null";
"580";"ELECTRICIDAD DEL PERU ELECTROPERU S.A.";"20100027705";"ESTUDIO Y ELABORACIÓN DEL EXPEDIENTE TÉCNICO PARA LA ESTABALIZACIÓN DE LOS TALUDES DE LA CARRETERA ENTRE LA ZONA DE COTA Y C.H. RESTITUCIÓN";"C.H. RESTITUCION";"Clasificación";"Electricidad";"03/08/2017";"Desaprobado";"SIN DESCRIPCION";"-74.6402344";"-12.35497634";"RD N° 013-2017-SENACE-JEF/DEAR";"null";
"594";"GOBIERNO REGIONAL AMAZONAS";"20479569861";"CREACIÓN DEL SERVICIO DE TRANSITABILIDAD ENTRE LOS CASERÍOS EL PORVENIR - LEJÍA ALTO - LEGÍA CHICO Y SAN JOSÉ DEL DISTRITO DE OMIA - PROVINCIA DE RODRÍGUEZ DE MENDOZA - DEPARTAMENTO DE AMAZONAS%u201D CON CUI N°2470548";"%u201CCREACIÓN DEL SERVICIO DE TRANSITABILIDAD ENTRE LOS CASERÍOS EL PORVENIR - LEJIA ALTO - LEGIA CHICO Y SAN JOSE";"Clasificación";"Transportes";"12/10/2022";"Desaprobado";"SIN DESCRIPCION";"-77.32597558";"-6.62754027";"RD N° 00032-2023-SENACE-PE/DEIN";"null";
"588";"CONCESIONARIA INTEROCEANICA SUR - TRAMO 3 S.A.";"20511129975";"ITS PARA LAS PTAR EN LAS UNIDADES INTEGRADAS DE PEAJE Y PESAJE (UNIÓN PROGRESO KM 354+700, PLANCHÓN KM 468+435 Y SAN LORENZO KM 579+400) DEL PROYECTO CORREDOR VIAL INTEROCEÁNICO SUR PERÚ-BRASIL, TRAM*";"CORREDOR VIAL INTEROCEÁNICO SUR, PERÚ-BRASIL, TRAMO N° 3 INAMBARI-IÑAPARI";"ITS";"Transportes";"31/08/2018";"Desaprobado";"SIN DESCRIPCION";"-69.77593959";"-12.88156875";"RD N° 00038-2019-SENACE-PE/DEIN";"null";
"590";"PROYECTO ESPECIAL BINACIONAL LAGO TITICACA";"20162117379";"SOLICITUD DE CLASIFICACIÓN DEL PROYECTO: MEJORAMIENTO DEL SERVICIO DE AGUA PARA RIEGO, EN LOS SECTORES DE FARUYO, CUIPACUIPA, LACA Y CUIRARI, DISTRITO DE SANTA ROSA DE MAZOCRUZ, PROVINCIA DE EL COLLA*";"SISTEMA DE RIEGO FARUYO-CUIPACUIPA";"Clasificación";"Agricultura";"28/11/2018";"Desaprobado";"SIN DESCRIPCION";"-69.83367559";"-16.93559603";"RD N° 083-2019-SENACE-PE/DEIN";"null";
"569";"GR BAYOVAR S.A.C.";"20602751083";"EVALUACIÓN AMBIENTAL PRELIMINAR DEL PROYECTO PARQUE EÓLICO EMMA";"PARQUE EOLICO EMMA";"Clasificación";"Electricidad";"30/05/2018";"Desaprobado";"SIN DESCRIPCION";"-80.77856747";"-5.9326429";"RD N° 0118-2018-SENACE-JEF/DEAR";"null";
"623";"MUNICIPALIDAD PROVINCIAL DE HUAMALIES";"20175212095";"CREACIÓN SERVICIO DE TRANSITABILIDAD DESDE LA LOCALIDAD POGOJPAMPA HASTA LA LOCALIDAD DE JIRCACANCHA (5+760 KM), EN EL DISTRITO DE LLATA, PROVINCIA DE HUAMALIES - HUÁNUCO";"INFRAESTRUCTURA VIAL INTERURBANO LLATA";"Clasificación";"Transportes";"03/03/2021";"Desaprobado";"SIN DESCRIPCION";"-76.83861561";"-9.63118322";"En Evaluación";"null";
"635";"GOBIERNO REGIONAL DE PASCO";"20489252270";"DIA PARA LA CONSTRUCCIÓN DE LA CARRETERA TRAMO CARHUANCHO - LLICLLAO, DISTRITO DE YANAHUANCA, PROVINCIA DANIEL CARRIÓN, REGIÓN PASCO SNIP Nº 255185";"CONSTRUCCIÓN DE LA CARRETERA TRAMO CARHUANCHO - LLICLLAO, DISTRITO DE YANAHUANCA, PROVINCIA DANIEL CARRIÓN, REGIÓN PASCO SNIP Nº 255185";"Clasificación";"Transportes";"11/07/2018";"Desaprobado";"SIN DESCRIPCION";"-76.59510052";"-10.53826703";"RD N° 00012-2019-SENACE-PE/DEIN";"null";
"639";"CSF CONTINUA MISTI S.A.C.";"20600896637";"CSF CONTINUA MISTI 300 MW";"CSF MISTI";"Clasificación";"Electricidad";"03/08/2016";"Desaprobado";"SIN DESCRIPCION";"-71.7914";"-16.7908";"RD N° 089-2016-SENACE/DCA";"null";
"625";"MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA";"20193164758";"CREACIÓN DE CAMINO VECINAL ENTRE LA LOCALIDAD DE PACCHAHUALLHUA- HUAYAHUA DEL DISTRITO DE INDEPENDENCIA, VILCASHUAMAN, AYACUCHO";"CAMINO VECINAL PACCHAHUALLHUA - HUAYAHUA";"Clasificación";"Transportes";"19/04/2022";"Desaprobado";"SIN DESCRIPCION";"-73.88915196";"-13.85282292";"RD N° 00192-2022-SENACE-PE/DEIN";"null";
"626";"CONCESIONARIA IIRSA NORTE S.A.";"20511004251";"INFORME TÉCNICO SUSTENTATORIO PARA EL DEPÓSITO DE MATERIAL EXCEDENTE KM 397+020 LI DEL PROYECTO CORREDOR VIAL AMAZONAS NORTE, TRAMO 3: CORRAL QUEMADO %u2013 RIOJA";"TRAMO III";"ITS";"Transportes";"16/09/2020";"Desaprobado";"SIN DESCRIPCION";"-77.66107877";"-5.68268414";"RD N° 00004-2021-SENACE-PE/DEIN";"null";
"646";"GR CORTARRAMA S.A.C.";"20600766873";"EVALUACIÓN AMBIENTAL PRELIMINAR (EVAP) DEL PROYECTO %u201CPARQUE SOLAR MATARANI 300 MW Y LÍNEA DE CONEXIÓN 220 KV%u201D";"PARQUE SOLAR MATARANI";"Clasificación";"Electricidad";"15/06/2018";"Desaprobado";"SIN DESCRIPCION";"-71.92805652";"-16.73478842";"RD N° 0121-2018-SENACE-JEF/DEAR";"null";
"647";"COMPAÑÍA MINERA KOLPA S.A.";"20600020022";"INFORME TÉCNICO SUSTENTATORIO MODIFICACIÓN DE COMPONENTES DE LA UNIDAD MINERA HUACHOCOLPA";"HUACHOCOLPA UNO";"ITS";"Minería";"10/01/2020";"Desaprobado";"SIN DESCRIPCION";"-74.98216932";"-13.07508336";"RD N° 00057-2020-SENACE-PE/DEAR";"null";
"650";"MUNICIPALIDAD DIST.DE CHALLHUAHUACHO";"20288774553";"CREACIÓN DEL SERVICIO DE CAMINO VECINAL DE LA COMUNIDAD DE HUANCUIRE - SECTOR DE SUYTUYO - MOCCOPATA Y SECTOR SUYTUYO - LLACTANI DE LA COMUNIDAD CAMPESINA DE PATARIO DEL DISTRITO DE CHALLHUAHUACHO, PROVINCIA DE COTABAMBAS, DEPARTAMENTO DE APURIMAC";"SERVICIO DE CONSERVACIÓN DE SUELO CHOCCOYO";"Clasificación";"Transportes";"09/11/2022";"Desaprobado";"SIN DESCRIPCION";"-72.29987659";"-14.22345752";"RD N° 00016-2023-SENACE-PE/DEIN
";"null";
"1104";"MUNICIPALIDAD DISTRITAL DE CUCHUMBAYA";"20221228511";"CREACIÓN DE LA TROCHA CARROZABLE DE TERCER ORDEN CUCHUMBAYA-SOQUESANE DEL DISTRITO DE CUCHUMBAYA - MARISCAL NIETO %u2013 MOQUEGUA. CUI: 2167581";"TROCHA CARROZABLE CUCHUMBAYA-SOQUESANE";"Clasificación";"Transportes";"05/09/2022";"Desaprobado";"SIN DESCRIPCION";"-70.67913147";"-16.75317949";"RD N° 00215-2022-SENACE-PE/DEIN";"null";
"1270";"DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES DEL GOBIERNO REGIONAL MADRE DE DIOS";"20199189710";"CREACIÓN DEL CAMINO VECINAL, INICIO DESVÍO MARGEN DERECHA KM 92 VÍA INTEROCEÁNICA (PE. 30C) SOL NACIENTE - HUACAMAYO, DISTRITO DE INAMBARI, PROVINCIA DE TAMBOPATA %u2013 MADRE DE DIOS";"CAMINO VECINAL SOL NACIENTE-HUACAMAYO";"Clasificación";"Transportes";"05/03/2020";"Desaprobado";"SIN DESCRIPCION";"-69.893474";"-12.89414207";"RD N° 00147-2020-SENACE-PE/DEIN";"null";
