Listado de Proyectos EN EVALUACION

ID;TITULAR;RUC;TITULO_PROYECTO;UNIDAD_PROYECTO;TIPO;ACTIVIDAD;FECHA_INICIO;ESTADO;DESCRIPCION;LONGITUD;LATITUD;RESOLUCION;LABEL
"525";"CONCESIONARIA IIRSA NORTE S.A.";"20511004251";"Informe Técnico Sustentatorio para la Obra Accesoria del Sector Km 504+210 %u2013 km 504+322.81 del Corredor Vial Amazonas Norte, Tramo N° 2 Tarapoto - Rioja";"Tramo II";"ITS";"Transportes";"23/01/2024";"En Evaluación";"SIN DESCRIPCION";"-76.89109434";"-6.0800764";"";"null";
"527";"EMPRESA DE GENERACION ELECTRICA BLANCA S.A.C.";"20608903551";"Evaluación Preliminar (EVAP) del proyecto %u201CCentral Solar Fotovoltaica Blanca y su interconexión al SEIN%u201D ubicada en los distritos de La Joya y Mollendo, provincia de Arequipa e Islay, departamento de Arequipa";"C.S.F. BLANCA Y SU INTERCONEXIÓN SEIN";"Clasificación";"Electricidad";"29/12/2023";"En Evaluación";"SIN DESCRIPCION";"-71.85938867";"-16.8472666";"";"null";
"528";"SHAHUINDO S.A.C.";"20505792042";"Octavo Informe Técnico Sustentatorio Modificación de Componentes Principales y Auxiliares de la Unidad Minera Shahuindo";"SHAHUINDO";"ITS";"Minería";"07/05/2024";"En Evaluación";"SIN DESCRIPCION";"-78.19685341";"-7.61229692";"";"null";
"530";"CONCESIONARIA INTEROCEANICA SUR TRAMO 2 S.A.";"20511125040";"Informe Técnico Sustentatorio para el Acopio y Planta de Asfalto Km 210+315 LI del Proyecto Corredor Vial Interoceánico Sur Perú-Brasil, Tramo N° 2 Urcos - Puente Inambari";"CORREDOR VIAL INTEROCEÁNICO SUR, PERÚ-BRASIL, TRAMO 02: URCOS %u2013 PUENTE INAMBARI";"ITS";"Transportes";"08/04/2024";"En Evaluación";"SIN DESCRIPCION";"-70.61974484";"-13.18754266";"";"null";
"574";"SIERRA ANTAPITE S.A.C.";"20601434335";"EXPLOTACIÓN, BENEFICIO Y LABOR GENERAL MINERO METÁLICOS";"ANTAPITE";"ITS";"Minería";"20/07/2022";"En Evaluación";"SIN DESCRIPCION";"-75.06736985";"-13.97850408";"";"null";
"570";"NEXA RESOURCES PERU S.A.A.";"20100110513";"PLAN DE PARTICIPACIÓN CIUDADANA DE LA SEGUNDA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DE LA U.M. CERRO LINDO";"CERRO LINDO";"PPC";"Minería";"25/01/2023";"En Evaluación";"SIN DESCRIPCION";"-75.99150542";"-13.08577614";"";"null";
"648";"HUDBAY PERU S.A.C.";"20511165181";"CUARTA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DE LA UNIDAD MINERA CONSTANCIA";"CONSTANCIA";"PPC";"Minería";"22/12/2022";"En Evaluación";"SIN DESCRIPCION";"-71.78682972";"-14.47934175";"";"null";
"1422";"PETROLEOS DEL PERU PETROPERU SA";"20100128218";"PROYECTO DE DESARROLLO DEL ÁREA NOROESTE DEL LOTE 64 %u2013 CAMPO SITUCHE CENTRAL";"LOTE 64";"Clasificación";"Hidrocarburos";"06/09/2023";"En Evaluación";"SIN DESCRIPCION";"-77.60223489";"-3.21989514";"";"null";
"1219";"PAN AMERICAN SILVER HUARON S.A.";"20546191541";"PLAN DE PARTICIPACIÓN CIUDADANA  - MEIA UM HUARÓN";"HUARÓN";"PPC";"Minería";"14/03/2023";"En Evaluación";"SIN DESCRIPCION";"-76.41094954";"-11.00433326";"";"null";
"1415";"ENVIRO TECNICAS S.A.C.";"20609620278";"PLANTA DE TRATAMIENTO DE RESIDUOS HOSPITALARIOS EN LA LOCALIDAD DE JUAN GUERRA";"JUAN GUERRA";"Clasificación";"Residuos Sólidos";"09/11/2023";"En Evaluación";"SIN DESCRIPCION";"-76.32953951";"-6.59014734";"";"null";
"1133";"COMPAÑIA MINERA CARAVELI S.A.C.";"20126702737";"TERCER INFORME TÉCNICO SUSTENTATORIO DE LA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL EXPLOTACIÓN Y BENEFICIO DE MINERALES AURÍFEROS DEL PROYECTO LA ESTRELLA";"LA ESTRELLA";"ITS";"Minería";"01/12/2023";"En Evaluación";"SIN DESCRIPCION";"-77.30669293";"-8.17672072";"";"null";
"1145";"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ";"20100147514";"Quinto Informe Técnico Sustentatorio de la Unidad Minera Ilo";"Ilo";"ITS";"Minería";"27/03/2024";"En Evaluación";"SIN DESCRIPCION";"-71.35196041";"-17.57978749";"";"null";
"1433";"COMPAÑIA DE MINAS BUENAVENTURA S.A.A.";"20100079501";"MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO (EIA-D %u2013 CATEGORÍA III) DE LA UNIDAD MINERA ORCOPAMPA";"ORCOPAMPA";"PPC";"Minería";"30/03/2023";"En Evaluación";"SIN DESCRIPCION";"-72.33412534";"-15.27797935";"";"null";
"1139";"ELECTRO DUNAS S.A.A.";"20106156400";"PROYECTO SET EL ÁNGEL DE  220/60/10 KV DE 120 MVA Y LÍNEA DE TRANSMISIÓN DE 220KV INDEPENDENCIA %u2013 EL ÁNGEL";"PROYECTO EL ANGEL";"Clasificación";"Electricidad";"29/01/2024";"En Evaluación";"SIN DESCRIPCION";"-76.15346814";"-13.72338262";"";"null";
"1143";"LA ARENA S.A.";"20205467603";"CUARTA MODIFICACIÓN DEL EIA-d DE LA UNIDAD MINERA LA ARENA";"La Arena";"MEIA-d";"Minería";"01/05/2024";"En Evaluación";"SIN DESCRIPCION";"-78.13558647";"-7.89601037";"";"null";
"1144";"KANAY S.A.C.";"20553255709";"Segundo Informe Técnico Sustentatorio (ITS)  Proyecto %u201CInfraestructura de Tratamiento de Residuos Peligrosos-Villa el Salvador-Lima%u201D";"Infraestructura de Tratamiento de Residuos Peligrosos - Villa el Salvador-Lima";"ITS";"Residuos Sólidos";"29/04/2024";"En Evaluación";"SIN DESCRIPCION";"-76.96457245";"-12.22617508";"";"null";
"1146";"MINSUR S. A.";"20100136741";"Modificación del Estudio de Impacto Ambiental Detallado de la Unidad Minera Nueva Acumulación Quenamari San Rafael";"SAN RAFAEL";"MEIA-d";"Minería";"18/03/2024";"En Evaluación";"SIN DESCRIPCION";"-70.32712364";"-14.22960589";"";"null";
"1148";"NEXA RESOURCES ATACOCHA S.A.A.";"20100123500";"Tercera Modificación del Estudio de Impacto Ambiental de la Unidad Minera Atacocha";"ATACOCHA";"Cls Anticipada";"Minería";"15/03/2024";"En Evaluación";"SIN DESCRIPCION";"-76.19057684";"-10.57811039";"";"null";
"1420";"SOCIEDAD MINERA EL BROCAL S.A.A.";"20100017572";"MODIFICACIÓN DEL EIA DE LA UNIDAD MINERA COLQUIJIRCA";"COLQUIJIRCA 1";"MEIA-d";"Minería";"25/02/2023";"En Evaluación";"SIN DESCRIPCION";"-76.2845052";"-10.78286104";"";"null";
"1159";"VOLCAN COMPANIA MINERA S.A.A.";"20383045267";"TERCERA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO (MEIA-D) DE LA UNIDAD MINERA ANDAYCHAGUA";"SIN UNIDAD";"PPC";"Minería";"31/03/2023";"En Evaluación";"SIN DESCRIPCION";"-76.00594471";"-11.75075653";" ";"null";
"1260";"NEXA RESOURCES PERU S.A.A.";"20100110513";"SEGUNDA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DE LA UNIDAD MINERA CERRO LINDO";"CERRO LINDO";"MEIA-d";"Minería";"20/10/2023";"En Evaluación";"SIN DESCRIPCION";"-75.9931143";"-13.08677356";"";"null";
"820";"CONCESIONARIA INTEROCEANICA SUR TRAMO 2 S.A.";"20511125040";"Informe Técnico Sustentatorio para la Planta de Chancado, Planta de Asfalto y Acopio km 223+600 del Proyecto Corredor Vial Interoceánico Sur Perú-Brasil, Tramo N° 2 Urcos - Puente Inambari";"CORREDOR VIAL INTEROCEÁNICO SUR, PERÚ-BRASIL, TRAMO 02: URCOS %u2013 PUENTE INAMBARI";"ITS";"Transportes";"10/01/2024";"En Evaluación";"SIN DESCRIPCION";"-70.5312685";"-13.20841077";"";"null";
"822";"SIERRA ANTAPITE S.A.C.";"20601434335";"Tercer Informe Técnico Sustentario de la unidad minera Antapite";"ANTAPITE";"ITS";"Minería";"01/05/2024";"En Evaluación";"SIN DESCRIPCION";"-75.06736985";"-13.97850408";"";"null";
"824";"PROVIAS DESCENTRALIZADO";"20380419247";"MEJORAMIENTO DEL CAMINO VECINAL EMP. PE-08 (QUINDEN) %u2013 QUINDEN %u2013 EL GUAYO %u2013 EL MOLINO - DISTRITO DE EL PRADO - PROVINCIA DE SAN MIGUEL - DEPARTAMENTO DE CAJAMARCA";"Gerencia de Intervenciones Especiales - Dirección Ejecutiva";"Clasificación";"Transportes";"25/03/2024";"En Evaluación";"SIN DESCRIPCION";"-78.99116705";"-7.09055463";"";"null";
"865";"COMPAÑIA MINERA ANTAPACCAY S.A.";"20114915026";"TÉRMINOS DE REFERENCIA ESPECÍFICOS PARA LA SEGUNDA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DE LA UNIDAD MINERA ANTAPACCAY - TINTAYA - INTEGRACIÓN COROCCOHUAYCO";"ANTAPACCAY - TINTAYA - INTEGRACIÓN COROCCOHUAYCO";"TdR";"Minería";"17/05/2023";"En Evaluación";"SIN DESCRIPCION";"-71.38501604";"-14.95183619";"";"null";
"939";"COMPAÑIA DE MINAS BUENAVENTURA S.A.A.";"20100079501";"MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DE LA UNIDAD MINERA TAMBOMAYO";"TAMBOMAYO";"MEIA-d";"Minería";"06/03/2023";"En Evaluación";"SIN DESCRIPCION";"-71.9774601";"-15.47878624";"";"null";
"905";"COMPAÑIA MINERA CHUNGAR S.A.C.";"20514608041";"ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL PROYECTO ROMINA";"ROMINA";"EIA-d";"Minería";"11/06/2022";"En Evaluación";"SIN DESCRIPCION";"-76.51722351";"-11.15528566";"";"null";
"797";"MINERA BOROO MISQUICHILCA S.A.";"20209133394";"QUINTO INFORME TÉCNICO SUSTENTATORIO DE LA SEGUNDA MODIFICACIÓN DEL EIA DE LA U.M. LAGUNAS NORTE";"LAGUNAS NORTE";"ITS";"Minería";"15/05/2023";"En Evaluación";"SIN DESCRIPCION";"-78.24544278";"-7.95017556";"";"null";
"806";"COMPAÑIA MINERA ARES S.A.C.";"20192779333";"PRIMER INFORME TÉCNICO SUSTENTATORIO DE LA SEGUNDA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DE LA UNIDAD MINERA INMACULADA";"INMACULADA";"ITS";"Minería";"21/11/2023";"En Evaluación";"SIN DESCRIPCION";"-73.24278866";"-14.94431934";"";"null";
"807";"PETROTAL PERU S.R.L.";"20513842377";"ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL PROYECTO DE PROSPECCIÓN SÍSMICA 2D";"LOTE 95";"IntegrAmbiente";"Hidrocarburos";"17/11/2023";"En Evaluación";"SIN DESCRIPCION";"-74.12841149";"-5.74662054";"";"null";
"811";"FENIX POWER PERU S.A.";"20509514641";"ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL PROYECTO PARQUE EÓLICO BAYÓVAR Y SU INTERCONEXIÓN AL SEIN";"DEAR";"EIA-d";"Electricidad";"11/03/2024";"En Evaluación";"SIN DESCRIPCION";"-80.8826654";"-5.90555773";"";"null";
"814";"AUTOPISTA DEL NORTE S.A.C.";"20520929658";"Informe Técnico Sustentatorio para la Nueva Ampliación del Depósito de Material Excedente km 18+150 LD, del Proyecto Red Vial 4: Pativilca, Santa, Trujillo y Salaverry %u2013 Empalme R01N";"Red Vial 4: Pativilca-Trujillo";"ITS";"Transportes";"24/02/2024";"En Evaluación";"SIN DESCRIPCION";"-78.51458174";"-9.05347344";"";"null";
"816";"RED DE ENERGIA DEL PERU SA";"20504645046";"Informe Técnico Sustentatorio (ITS) del EIAd  Línea de Transmisión 138 kV Cerro Verde - Mollendo  (L.T. 1029-1030)";"L.T. 138 kV Cerro Verde - Mollendo";"ITS";"Electricidad";"02/02/2024";"En Evaluación";"SIN DESCRIPCION";"-71.62660757";"-16.51123284";"";"null";
"817";"CONCESIONARIA INTEROCEANICA SUR TRAMO 2 S.A.";"20511125040";"Informe Técnico Sustentatorio para el Mantenimiento de Pavimentos para el Tramo Capire (Km. 160+000) %u2013 Puente Inambari (Km. 246+437.49) del Corredor Vial Interoceánico Sur Perú-Brasil, Tramo N° 2 Urcos - Puente Inambari.";"CORREDOR VIAL INTEROCEÁNICO SUR, PERÚ-BRASIL, TRAMO 02: URCOS %u2013 PUENTE INAMBARI";"ITS";"Transportes";"23/01/2024";"En Evaluación";"SIN DESCRIPCION";"-70.61163519";"-13.19581803";"";"null";
"819";"UNNA ENERGIA S.A.";"20100153832";"UNNA Energía S.A.";"Lote IV";"ITS";"Hidrocarburos";"16/01/2024";"En Evaluación";"SIN DESCRIPCION";"-81.16659046";"-4.48448874";"";"null";
"2105";"NEXA RESOURCES EL PORVENIR S.A.C.";"20492744833";"Segunda Modificación de Estudio de Impacto Ambiental de la Unidad Minera El Porvenir";"EL PORVENIR";"Cls Anticipada";"Minería";"15/03/2024";"En Evaluación";"SIN DESCRIPCION";"-76.21102816";"-10.61149219";"";"null";
"2110";"AUTORIDAD PARA LA RECONSTRUCCIÓN CON CAMBIOS";"20602114091";"Creación del servicio de protección en las riberas del Río Huaura vulnerable ante peligro de inundaciones en las localidades de 5 distritos de la provincia de Oyón y 6 distritos de la provincia de Huaura - departamento de Lima";"PROTECCIÓN RÍO HUAURA";"IGAPRO";"Agricultura";"29/12/2023";"En Evaluación";"SIN DESCRIPCION";"-77.17382256";"-8.06325951";" ";"null";
"2149";"INNOVA AMBIENTAL S.A.";"20302891452";"MODIFICACIÓN DEL EIA- SD DEL RELLENO DE SEGURIDAD CUMBRE";"RELLENO SANITARIO CUMBRE";"EIA-sd";"Residuos Sólidos";"26/07/2023";"En Evaluación";"SIN DESCRIPCION";"-79.03369008";"-7.94425455";"";"null";
"2166";"ARIANA OPERACIONES MINERAS S.A.C.";"20543905306";"TERCER INFORME TÉCNICO SUSTENTATORIO DE LA UNIDAD MINERA ARIANA";"ARIANA";"ITS";"Minería";"23/08/2023";"En Evaluación";"SIN DESCRIPCION";"-76.33281257";"-11.48989432";"";"null";
"2068";"GOLD FIELDS LA CIMA S.A.";"20507828915";"IX MODIFICACIÓN DEL EIA DE CERRO CORONA";"CERRO CORONA";"MEIA-d";"Minería";"25/08/2023";"En Evaluación";"SIN DESCRIPCION";"-78.63381503";"-6.76667557";"";"null";
"2077";"HIDROELECTRICA RIO HUAMUCO S.A";"20602068847";"ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL COMPLEJO HIDROELÉCTRICO HUAMUCO";"COMPLEJO HIDROELÉCTRICO HUAMUCO";"EIA-d";"Electricidad";"13/05/2022";"En Evaluación";"SIN DESCRIPCION";"-76.47888624";"-8.87276274";"";"null";
"2145";"COMPAÑIA DE MINAS BUENAVENTURA S.A.A.";"20100079501";"PLAN DE PARTICIPACIÓN CIUDADANA DE LA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL PROYECTO  SAN GABRIEL";"SIN UNIDAD";"PPC";"Minería";"05/04/2023";"En Evaluación";"SIN DESCRIPCION";"-70.58141571";"-16.20447517";" ";"null";
"2147";"MINERA LAS BAMBAS S.A.";"20538428524";"CUARTA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL LAS BAMBAS";"LAS BAMBAS";"MEIA-d";"Minería";"12/07/2023";"En Evaluación";"SIN DESCRIPCION";"-72.31043183";"-14.07406315";"";"null";
"2090";"GOBIERNO REGIONAL HUANUCO";"20489250731";"AMPLIACION Y MEJORAMIENTO DE LOS SERVICIOS DE  PROTECCIÓN FRENTE A LAS INUNDACIONES DEL MARGEN  DERECHA, TRAMOS: PROYECCION PUENTE TINGO, MARCOS  DURAN MARTEL, VILLA HERMOSA, HUAYOPAMPA Y SANTA  ZÉFORA DEL DISTRITO DE AMARILIS - PROVINCIA DE  HUANUCO %u2013 DE";"SERVICIO DE PROTECCION";"Clasificación";"Agricultura";"01/03/2024";"En Evaluación";"SIN DESCRIPCION";"-76.2328337";"-9.92202978";"";"null";
"2091";"HYDRO GLOBAL PERU S.A.C.";"20600538251";"Informe Técnico Sustentatorio (ITS) para la Variante de la Línea de Transmisión 220 kV S.E. Paquillusi %u2013 S.E. Pumiri para la Conexión de la Central Hidroeléctrica San Gabán III al Sistema Eléctrico Interconectado Nacional (SEIN)";"L.T PARA LA CONEXIÓN DE LA CENTRAL HIDROELÉCTRICA SAN GABÁN III AL SEIN";"ITS";"Electricidad";"28/01/2024";"En Evaluación";"SIN DESCRIPCION";"-70.42916356";"-13.52205514";"";"null";
"2092";"UNNA ENERGIA S.A.";"20100153832";"Modificación de la Ubicación de 94 Pozos de Desarrollo en la Zona C del Lote III";"Lote III";"ITS";"Hidrocarburos";"17/01/2024";"En Evaluación";"SIN DESCRIPCION";"-81.13718066";"-4.87206382";"";"null";
